,country,total,new case,death,new_death,recovered,active_cases,critical
1,China,81285,67,3287,6,74051,3947,1235
2,Italy,80589,"6,203",8215,712,10361,62013,3612
3,USA,80071,"11,860",1151,124,1864,77056,2112
4,Spain,56197,"6,682",4145,498,7015,45037,3166
5,Germany,43646,"6,323",239,33,5673,37734,23
6,Iran,29406,"2,389",2234,157,10457,16715,2746
7,France,29155,"3,922",1696,365,4948,22511,3375
8,Switzerland,11712,815,191,38,131,11390,141
9,UK,11658,"2,129",578,115,135,10945,163
10,S. Korea,9241,104,131,5,4144,4966,59
11,Netherlands,7431,"1,019",434,78,3,6994,582
12,Austria,6847,"1,259",49,18,112,6686,28
13,Belgium,6235,"1,298",220,42,675,5340,605
14,Canada,3897,488,37,1,199,3661,120
15,Turkey,3629,"1,196",75,16,26,3528,136
16,Portugal,3544,549,60,17,43,3441,61
17,Norway,3346,262,14,,6,3326,70
18,Sweden,2840,314,71,9,16,2753,176
19,Australia,2806,130,13,2,170,2623,11
20,Israel,2693,324,8,3,68,2617,46
21,Brazil,2611,57,63,4,6,2542,18
22,Malaysia,2031,235,23,3,215,1793,45
23,Czechia,1925,271,9,3,10,1906,34
24,Denmark,1877,153,41,7,1,1835,94
25,Ireland,1564,,9,,5,1550,39
26,Luxembourg,1453,120,9,1,6,1438,3
27,Japan,1399,92,47,2,359,993,57
28,Ecuador,1382,171,34,5,3,1345,58
29,Chile,1306,164,4,1,22,1280,7
30,Poland,1221,170,16,2,7,1198,3
31,Pakistan,1179,116,9,1,21,1149,5
32,Thailand,1045,111,4,,88,953,4
33,Romania,1029,123,22,5,94,913,29
34,Saudi Arabia,1012,112,3,1,33,976,6
35,Finland,958,78,5,2,10,943,24
36,South Africa,927,218,,,12,915,2
37,Indonesia,893,103,78,20,35,780,
38,Greece,892,71,26,4,36,830,53
39,Russia,840,182,3,,38,799,8
40,Iceland,802,65,2,,68,732,11
41,India,722,65,16,4,45,661,
42,Diamond Princess,712,,10,,597,105,15
43,Philippines,707,71,45,7,28,634,1
44,Singapore,683,52,2,,172,509,17
45,Peru,580,100,9,,14,557,14
46,Slovenia,562,34,6,1,10,546,14
47,Panama,558,,8,,2,548,20
48,Qatar,549,12,,,43,506,6
49,Estonia,538,134,1,,8,529,6
50,Argentina,502,,8,,63,431,
51,Croatia,495,53,2,1,22,471,14
52,Colombia,491,21,6,2,8,477,
53,Dominican Republic,488,96,10,,3,475,
54,Mexico,475,70,6,1,4,465,1
55,Bahrain,458,39,4,,204,250,1
56,Serbia,457,73,7,3,15,435,21
57,Egypt,456,,21,,95,340,
58,Hong Kong,453,42,4,,110,339,5
59,Iraq,382,36,36,7,105,241,
60,Lebanon,368,35,6,,23,339,3
61,Algeria,367,65,25,4,29,313,
62,UAE,333,,2,,52,279,2
63,Lithuania,299,25,4,,1,294,1
64,Armenia,290,25,1,1,18,271,6
65,New Zealand,283,,,,27,256,
66,Morocco,275,50,10,4,8,257,1
67,Bulgaria,264,22,3,,8,253,8
68,Hungary,261,35,10,,28,223,6
69,Taiwan,252,17,2,,29,221,
70,Latvia,244,23,,,1,243,
71,Costa Rica,231,30,2,,2,227,4
72,Slovakia,226,10,,,2,224,2
73,Andorra,224,36,3,2,1,220,6
74,Uruguay,217,,,,,217,3
75,Jordan,212,40,,,1,211,
76,San Marino,208,,21,,4,183,12
77,Kuwait,208,13,,,49,159,7
78,North Macedonia,201,24,3,,3,195,1
79,Tunisia,200,27,6,1,2,192,10
80,Bosnia and Herzegovina,189,13,3,,2,184,1
81,Moldova,177,28,1,,2,174,28
82,Albania,174,28,6,1,17,151,3
83,Ukraine,162,17,5,,1,156,
84,Vietnam,153,5,,,20,133,3
85,Burkina Faso,152,6,4,,10,138,
86,Cyprus,146,14,3,,4,139,3
87,Faeroe Islands,140,8,,,47,93,
88,Réunion,135,24,,,1,134,
89,Malta,134,5,,,2,132,1
90,Ghana,132,64,4,,1,127,
91,Azerbaijan,122,29,3,1,15,104,6
92,Brunei,114,5,,,5,109,1
93,Kazakhstan,111,30,1,1,2,108,
94,Oman,109,10,,,23,86,
95,Sri Lanka,106,4,,,7,99,3
96,Venezuela,106,,,,15,91,2
97,Senegal,105,6,,,9,96,
98,Cambodia,96,,,,10,86,1
99,Afghanistan,94,10,2,,2,90,
100,Belarus,86,,,,29,57,2
101,Palestine,84,13,1,,17,66,
102,Mauritius,81,33,2,,,79,1
103,Ivory Coast,80,,,,3,77,
104,Georgia,79,4,,,11,68,1
105,Cameroon,75,,1,,2,72,
106,Uzbekistan,75,15,,,,75,4
107,Guadeloupe,73,,1,,,72,4
108,Montenegro,69,16,1,,,68,1
109,Cuba,67,10,1,,1,65,2
110,Martinique,66,,1,,,65,7
111,Trinidad and Tobago,61,1,1,,,60,
112,Liechtenstein,56,5,,,,56,
113,Honduras,52,,1,1,,51,
114,DRC,51,3,3,1,,48,
115,Nigeria,51,,1,,2,48,
116,Channel Islands,46,,1,1,,45,
117,Bangladesh,44,5,5,,11,28,1
118,Kyrgyzstan,44,,,,,44,
119,Paraguay,41,4,3,,,38,1
120,Rwanda,41,,,,,41,
121,Bolivia,40,8,,,,40,
122,Mayotte,36,,,,,36,
123,Monaco,33,2,,,1,32,
124,Kenya,31,3,1,1,1,29,
125,Macao,31,,,,10,21,
126,French Polynesia,30,5,,,,30,
127,French Guiana,28,,,,6,22,
128,Jamaica,26,,1,,2,23,
129,Gibraltar,26,,,,5,21,
130,Isle of Man,25,2,,,,25,
131,Guatemala,24,,1,,4,19,
132,Madagascar,23,4,,,,23,
133,Togo,23,,,,1,22,
134,Aruba,19,,,,1,18,
135,Barbados,18,,,,,18,
136,Zambia,16,4,,,,16,
137,New Caledonia,14,,,,,14,
138,Uganda,14,,,,,14,
139,El Salvador,13,4,,,,13,
140,Maldives,13,,,,8,5,
141,Tanzania,13,,,,,13,
142,Ethiopia,12,,,,,12,
143,Djibouti,11,,,,,11,
144,Dominica,11,,,,,11,
145,Mongolia,11,1,,,,11,
146,Saint Martin,11,,,,,11,
147,Equatorial Guinea,9,,,,,9,
148,Cayman Islands,8,,1,,,7,
149,Haiti,8,,,,,8,
150,Namibia,8,1,,,2,6,
151,Suriname,8,,,,,8,
152,Gabon,7,1,1,,,6,
153,Niger,7,,1,,,6,
154,Bermuda,7,,,,2,5,
155,Mozambique,7,2,,,,7,
156,Seychelles,7,,,,,7,
157,Curaçao,6,,1,,2,3,
158,Benin,6,,,,,6,
159,Greenland,6,,,,2,4,
160,Laos,6,3,,,,6,
161,Guyana,5,,1,,,4,
162,Bahamas,5,,,,1,4,
163,Fiji,5,,,,,5,
164,Syria,5,,,,,5,
165,Cabo Verde,4,,1,,,3,
166,Congo,4,,,,,4,
167,Eritrea,4,,,,,4,
168,Guinea,4,,,,,4,
169,Vatican City,4,,,,,4,
170,Mali,4,2,,,,4,
171,Eswatini,4,,,,,4,
172,Gambia,3,,1,,,2,
173,Sudan,3,,1,,,2,
174,Zimbabwe,3,,1,,,2,
175,Nepal,3,,,,1,2,
176,Angola,3,,,,,3,
177,Antigua and Barbuda,3,,,,,3,
178,CAR,3,,,,,3,
179,Chad,3,,,,,3,
180,Liberia,3,,,,,3,
181,Mauritania,3,1,,,,3,
182,Myanmar,3,,,,,3,
183,St. Barth,3,,,,,3,
184,Saint Lucia,3,,,,,3,
185,Sint Maarten,3,,,,,3,
186,Belize,2,,,,,2,
187,Bhutan,2,,,,,2,
188,British Virgin Islands,2,,,,,2,
189,Guinea-Bissau,2,,,,,2,
190,Montserrat,2,1,,,,2,
191,Nicaragua,2,,,,,2,
192,Saint Kitts and Nevis,2,,,,,2,
193,Somalia,2,1,,,,2,
194,Turks and Caicos,2,1,,,,2,
195,Grenada,1,,,,,1,
196,Libya,1,,,,,1,
197,Papua New Guinea,1,,,,,1,
198,St. Vincent Grenadines,1,,,,,1,
199,Timor-Leste,1,,,,,1,
